Load environment configuration
mkdir: created directory '/appsmith-stacks/data/certificate'
mkdir: created directory '/appsmith-stacks/data/certificate/conf'
'/opt/appsmith/editor/index.html' -> '/opt/appsmith/index.html.original'
172.18.0.1 - - [12/Dec/2022:11:08:18 +0000] "GET /static/js/960.45d77901.chunk.js HTTP/1.1" 200 1481712 "http://192.168.1.2/app/application/page-63970ba1ad091f39c9f17b34/edit" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
172.18.0.1 - - [12/Dec/2022:11:08:18 +0000] "GET /static/js/649.7de8c1f1.chunk.js HTTP/1.1" 200 158522 "http://192.168.1.2/app/application/page-63970ba1ad091f39c9f17b34/edit" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
172.18.0.1 - - [12/Dec/2022:11:08:19 +0000] "GET /api/v1/pages?pageId=63970ba1ad091f39c9f17b34&mode=EDIT HTTP/1.1" 200 418 "http://192.168.1.2/app/application/page-63970ba1ad091f39c9f17b34/edit" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
172.18.0.1 - - [12/Dec/2022:11:08:19 +0000] "GET /api/v1/collections/actions?applicationId=63970ba1ad091f39c9f17b31 HTTP/1.1" 200 83 "http://192.168.1.2/app/my-first-application/page1-63970ba1ad091f39c9f17b34/edit" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
172.18.0.1 - - [12/Dec/2022:11:08:19 +0000] "GET /api/v1/themes/applications/63970ba1ad091f39c9f17b31/current?mode=EDIT HTTP/1.1" 200 1432 "http://192.168.1.2/app/my-first-application/page1-63970ba1ad091f39c9f17b34/edit" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
172.18.0.1 - - [12/Dec/2022:11:08:19 +0000] "GET /api/v1/pages/63970ba1ad091f39c9f17b34 HTTP/1.1" 200 486 "http://192.168.1.2/app/my-first-application/page1-63970ba1ad091f39c9f17b34/edit" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
172.18.0.1 - - [12/Dec/2022:11:08:19 +0000] "GET /api/v1/datasources?workspaceId=63970ba1ad091f39c9f17b2d HTTP/1.1" 200 83 "http://192.168.1.2/app/my-first-application/page1-63970ba1ad091f39c9f17b34/edit" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
172.18.0.1 - - [12/Dec/2022:11:08:19 +0000] "GET /api/v1/actions?applicationId=63970ba1ad091f39c9f17b31 HTTP/1.1" 200 83 "http://192.168.1.2/app/my-first-application/page1-63970ba1ad091f39c9f17b34/edit" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
172.18.0.1 - - [12/Dec/2022:11:08:19 +0000] "GET /api/v1/plugins?workspaceId=63970ba1ad091f39c9f17b2d HTTP/1.1" 200 23679 "http://192.168.1.2/app/my-first-application/page1-63970ba1ad091f39c9f17b34/edit" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
172.18.0.1 - - [12/Dec/2022:11:08:19 +0000] "GET /api/v1/pages/63970ba1ad091f39c9f17b34 HTTP/1.1" 200 486 "http://192.168.1.2/app/my-first-application/page1-63970ba1ad091f39c9f17b34/edit" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
172.18.0.1 - - [12/Dec/2022:11:08:19 +0000] "GET /api/v1/themes/applications/63970ba1ad091f39c9f17b31 HTTP/1.1" 200 4594 "http://192.168.1.2/app/my-first-application/page1-63970ba1ad091f39c9f17b34/edit" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
172.18.0.1 - - [12/Dec/2022:11:08:19 +0000] "GET /api/v1/workspaces/63970ba1ad091f39c9f17b2d/members HTTP/1.1" 200 199 "http://192.168.1.2/app/my-first-application/page1-63970ba1ad091f39c9f17b34/edit" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
172.18.0.1 - - [12/Dec/2022:11:08:19 +0000] "GET /api/v1/datasources/mocks HTTP/1.1" 200 190 "http://192.168.1.2/app/my-first-application/page1-63970ba1ad091f39c9f17b34/edit" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
